metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
kafka.server.broker_topic_metrics.failed_fetch_requests_per_sec.mean_rate,gauge,,request,,Fetch request rate for requests that failed (mean_rate),,confluent_platform,
kafka.controller.controller_stats.unclean_leader_elections_per_sec.count,count,,,,Unclean leader election rate (count),,confluent_platform,
kafka.controller.controller_stats.unclean_leader_elections_per_sec.fifteen_minute_rate,gauge,,,,Unclean leader election rate (fifteen_minute_rate),,confluent_platform,
kafka.controller.controller_stats.unclean_leader_elections_per_sec.five_minute_rate,gauge,,,,Unclean leader election rate (five_minute_rate),,confluent_platform,
kafka.controller.controller_stats.unclean_leader_elections_per_sec.one_minute_rate,gauge,,,,Unclean leader election rate (one_minute_rate),,confluent_platform,
kafka.controller.controller_stats.unclean_leader_elections_per_sec.mean_rate,gauge,,,,Unclean leader election rate (mean_rate),,confluent_platform,
kafka.server.kafka_request_handler_pool.request_handler_avg_idle_percent.count,count,,fraction,,Average fraction of time the request handler threads are idle. Values are between 0 (all resources are used) and 1 (all resources are available) (count),,confluent_platform,
kafka.server.kafka_request_handler_pool.request_handler_avg_idle_percent.fifteen_minute_rate,gauge,,fraction,,Average fraction of time the request handler threads are idle. Values are between 0 (all resources are used) and 1 (all resources are available) (fifteen_minute_rate),,confluent_platform,
kafka.server.kafka_request_handler_pool.request_handler_avg_idle_percent.five_minute_rate,gauge,,fraction,,Average fraction of time the request handler threads are idle. Values are between 0 (all resources are used) and 1 (all resources are available) (five_minute_rate),,confluent_platform,
kafka.server.kafka_request_handler_pool.request_handler_avg_idle_percent.one_minute_rate,gauge,,fraction,,Average fraction of time the request handler threads are idle. Values are between 0 (all resources are used) and 1 (all resources are available) (one_minute_rate),,confluent_platform,
kafka.server.kafka_request_handler_pool.request_handler_avg_idle_percent.mean_rate,gauge,,fraction,,Average fraction of time the request handler threads are idle. Values are between 0 (all resources are used) and 1 (all resources are available) (mean_rate),,confluent_platform,
kafka.server.broker_topic_metrics.messages_in_per_sec.count,count,,message,,Aggregate incoming message rate (count),,confluent_platform,
kafka.server.broker_topic_metrics.messages_in_per_sec.fifteen_minute_rate,gauge,,message,,Aggregate incoming message rate (fifteen_minute_rate),,confluent_platform,
kafka.server.broker_topic_metrics.messages_in_per_sec.five_minute_rate,gauge,,message,,Aggregate incoming message rate (five_minute_rate),,confluent_platform,
kafka.server.broker_topic_metrics.messages_in_per_sec.one_minute_rate,gauge,,message,,Aggregate incoming message rate (one_minute_rate),,confluent_platform,
kafka.server.broker_topic_metrics.messages_in_per_sec.mean_rate,gauge,,message,,Aggregate incoming message rate (mean_rate),,confluent_platform,
kafka.server.replica_manager.isr_shrinks_per_sec.count,count,,,,"If a broker goes down, ISR for some of the partitions will shrink. When that broker is up again, ISR will be expanded once the replicas are fully caught up. Other than that, the expected value for both ISR shrink rate and expansion rate is 0 (count)",,confluent_platform,
kafka.server.replica_manager.isr_shrinks_per_sec.fifteen_minute_rate,gauge,,,,"If a broker goes down, ISR for some of the partitions will shrink. When that broker is up again, ISR will be expanded once the replicas are fully caught up. Other than that, the expected value for both ISR shrink rate and expansion rate is 0 (fifteen_minute_rate)",,confluent_platform,
kafka.server.replica_manager.isr_shrinks_per_sec.five_minute_rate,gauge,,,,"If a broker goes down, ISR for some of the partitions will shrink. When that broker is up again, ISR will be expanded once the replicas are fully caught up. Other than that, the expected value for both ISR shrink rate and expansion rate is 0 (five_minute_rate)",,confluent_platform,
kafka.server.replica_manager.isr_shrinks_per_sec.one_minute_rate,gauge,,,,"If a broker goes down, ISR for some of the partitions will shrink. When that broker is up again, ISR will be expanded once the replicas are fully caught up. Other than that, the expected value for both ISR shrink rate and expansion rate is 0 (one_minute_rate)",,confluent_platform,
kafka.server.replica_manager.isr_shrinks_per_sec.mean_rate,gauge,,,,"If a broker goes down, ISR for some of the partitions will shrink. When that broker is up again, ISR will be expanded once the replicas are fully caught up. Other than that, the expected value for both ISR shrink rate and expansion rate is 0 (mean_rate)",,confluent_platform,
kafka.server.replica_manager.isr_expands_per_sec.count,count,,,,"When a broker is brought up after a failure, it starts catching up by reading from the leader. Once it is caught up, it gets added back to the ISR (count)",,confluent_platform,
kafka.server.replica_manager.isr_expands_per_sec.fifteen_minute_rate,gauge,,,,"When a broker is brought up after a failure, it starts catching up by reading from the leader. Once it is caught up, it gets added back to the ISR (fifteen_minute_rate)",,confluent_platform,
kafka.server.replica_manager.isr_expands_per_sec.five_minute_rate,gauge,,,,"When a broker is brought up after a failure, it starts catching up by reading from the leader. Once it is caught up, it gets added back to the ISR (five_minute_rate)",,confluent_platform,
kafka.server.replica_manager.isr_expands_per_sec.one_minute_rate,gauge,,,,"When a broker is brought up after a failure, it starts catching up by reading from the leader. Once it is caught up, it gets added back to the ISR (one_minute_rate)",,confluent_platform,
kafka.server.replica_manager.isr_expands_per_sec.mean_rate,gauge,,,,"When a broker is brought up after a failure, it starts catching up by reading from the leader. Once it is caught up, it gets added back to the ISR (mean_rate)",,confluent_platform,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.50percentile,gauge,,,,Leader election rate and latency (50percentile),,confluent_platform,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.75percentile,gauge,,,,Leader election rate and latency (75percentile),,confluent_platform,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.95percentile,gauge,,,,Leader election rate and latency (95percentile),,confluent_platform,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.98percentile,gauge,,,,Leader election rate and latency (98percentile),,confluent_platform,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.99percentile,gauge,,,,Leader election rate and latency (99percentile),,confluent_platform,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.999percentile,gauge,,,,Leader election rate and latency (999percentile),,confluent_platform,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.count,count,,,,Leader election rate and latency (count),,confluent_platform,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.fifteen_minute_rate,gauge,,,,Leader election rate and latency (fifteen_minute_rate),,confluent_platform,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.five_minute_rate,gauge,,,,Leader election rate and latency (five_minute_rate),,confluent_platform,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.one_minute_rate,gauge,,,,Leader election rate and latency (one_minute_rate),,confluent_platform,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.max,gauge,,,,Leader election rate and latency (max),,confluent_platform,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.mean,gauge,,,,Leader election rate and latency (mean),,confluent_platform,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.mean_rate,gauge,,,,Leader election rate and latency (mean_rate),,confluent_platform,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.min,gauge,,,,Leader election rate and latency (min),,confluent_platform,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.std_dev,gauge,,,,Leader election rate and latency (std_dev),,confluent_platform,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.50percentile,gauge,,flush,,Log flush rate and time (50percentile),,confluent_platform,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.75percentile,gauge,,flush,,Log flush rate and time (75percentile),,confluent_platform,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.95percentile,gauge,,flush,,Log flush rate and time (95percentile),,confluent_platform,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.98percentile,gauge,,flush,,Log flush rate and time (98percentile),,confluent_platform,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.99percentile,gauge,,flush,,Log flush rate and time (99percentile),,confluent_platform,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.999percentile,gauge,,flush,,Log flush rate and time (999percentile),,confluent_platform,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.count,count,,flush,,Log flush rate and time (count),,confluent_platform,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.fifteen_minute_rate,gauge,,flush,,Log flush rate and time (fifteen_minute_rate),,confluent_platform,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.five_minute_rate,gauge,,flush,,Log flush rate and time (five_minute_rate),,confluent_platform,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.one_minute_rate,gauge,,flush,,Log flush rate and time (one_minute_rate),,confluent_platform,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.max,gauge,,flush,,Log flush rate and time (max),,confluent_platform,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.mean,gauge,,flush,,Log flush rate and time (mean),,confluent_platform,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.mean_rate,gauge,,flush,,Log flush rate and time (mean_rate),,confluent_platform,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.min,gauge,,flush,,Log flush rate and time (min),,confluent_platform,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.std_dev,gauge,,flush,,Log flush rate and time (std_dev),,confluent_platform,
